id,description,title,country,date_end,date_start,person,link,location,location_category,location_name
1,H.M. Kongen mottar sjef for Forsvarets operative hovedkvarter i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-18T00:00:00,Kong Harald V,,,slottet,
2,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-15T00:00:00,Kong Harald V,,,slottet,
3,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V,,,slottet,
4,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V,,,slottet,
5,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V,,,slottet,
6,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V,,,slottet,
7,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V,,,slottet,
8,H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V,,,slottet,
9,H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V,,,slottet,
10,H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V,,,slottet,
11,H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V,,,slottet,
12,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V,,,utrikes,Italien
13,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V,,,utrikes,Italien
14,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V,,,utrikes,Italien
15,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V,,,utrikes,Italien
16,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V,,,utrikes,Italien
17,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse,Norge,,2016-04-07T00:00:00,Kong Harald V,,,utrikes,Italien
18,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse,Norge,,2016-04-07T00:00:00,Kong Harald V,,,utrikes,Italien
19,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse,Norge,,2016-04-07T00:00:00,Kong Harald V,,,utrikes,Italien
20,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse,Norge,,2016-04-07T00:00:00,Kong Harald V,,,utrikes,Italien
21,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
22,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
23,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
24,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
25,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
26,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V,,,utrikes,Italien
27,DD.MM. Kongen og Dronningen gjennomfører statsbesøk til Italia 6. - 8. april.,Statsbesøk,Norge,08/04/2016 00:00:00,2016-04-06T00:00:00,Kong Harald V,/artikkel.html?tid=134860&sek=112472,,utrikes,Italien
28,H.M. Kongen holder Statsråd på Det kongelige slott (10.00).,Statsråd,Norge,,2016-04-05T00:00:00,Kong Harald V,,,slottet,
29,H.M. Kongen mottar generalinspektøren for Hæren i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-04T00:00:00,Kong Harald V,,,slottet,
30,H.M. Kongen mottar generalinspektøren for Hæren i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-04T00:00:00,Kong Harald V,,,slottet,
