id,description,title,country,date_end,date_start,person,link
1,H.M. Kongen mottar sjef for Forsvarets operative hovedkvarter i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-18T00:00:00,Kong Harald V ,
2,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-15T00:00:00,Kong Harald V ,
3,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V ,
4,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V ,
5,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V ,
6,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V ,
7,H.M. Kongen mottar utenriksråden i audiens. H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-04-14T00:00:00,Kong Harald V ,
8,"H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).
",Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V ,
9,"H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).
",Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V ,
10,"H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).
",Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V ,
11,"H.M. Kongen mottar generalinspektøren for Heimevernet i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).
",Fast audiens,Norge,,2016-04-11T00:00:00,Kong Harald V ,
12,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V ,
13,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V ,
14,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V ,
15,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V ,
16,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen deltar på seminaret ""Italian-Norwegian Energy Dialogue: Solutions for the Future"" i Milano.",Energiseminar,Norge,,2016-04-08T00:00:00,Kong Harald V ,
17,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse ,Norge,,2016-04-07T00:00:00,Kong Harald V ,
18,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse ,Norge,,2016-04-07T00:00:00,Kong Harald V ,
19,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse ,Norge,,2016-04-07T00:00:00,Kong Harald V ,
20,"Statsbesøk til Italia: H.M. Kongen legger ned krans på den ukjente soldats grav ved Fedrelandsmonumentet, Altare della Patria, i Roma. H.M. Dronningen vil også være til stede.",Kransnedleggelse ,Norge,,2016-04-07T00:00:00,Kong Harald V ,
21,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
22,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
23,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
24,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
25,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
26,"Statsbesøk til Italia: DD.MM. Kongen og Dronningen ønskes formelt velkommen til Italia av H.E. President Sergio Mattarella og hans datter Laura Mattarella ved en høytidelig velkomstseremoni utenfor Palazzo del Quirinale, Roma.  ",Velkomstseremoni,Norge,,2016-04-06T00:00:00,Kong Harald V ,
27,DD.MM. Kongen og Dronningen gjennomfører statsbesøk til Italia 6. - 8. april.,Statsbesøk,Norge,2016-04-08 00:00:00,2016-04-06T00:00:00,Kong Harald V ,/artikkel.html?tid=134860&sek=112472
28,H.M. Kongen holder Statsråd på Det kongelige slott (10.00).,Statsråd,Norge,,2016-04-05T00:00:00,Kong Harald V ,
29,H.M. Kongen mottar generalinspektøren for Hæren i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-04T00:00:00,Kong Harald V ,
30,H.M. Kongen mottar generalinspektøren for Hæren i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-04T00:00:00,Kong Harald V ,
31,H.M. Kongen mottar generalinspektøren for Hæren i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-04-04T00:00:00,Kong Harald V ,
32,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-01T00:00:00,Kong Harald V ,
33,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-01T00:00:00,Kong Harald V ,
34,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-01T00:00:00,Kong Harald V ,
35,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-01T00:00:00,Kong Harald V ,
36,H.M. Kongen holder Statsråd på Det kongelige slott. H.K.H. Kronprinsen vil også være til stede (11.00).,Statsråd,Norge,,2016-04-01T00:00:00,Kong Harald V ,
37,H.M. Kongen mottar utenriksråden i audiens. H.M. Dronningen og H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-03-31T00:00:00,Kong Harald V ,
38,H.M. Kongen besøker Etterretningstjenesten. H.K.H. Kronprinsen vil også være til stede.,Etterretningstjenesten,Norge,,2016-03-30T00:00:00,Kong Harald V ,
39,H.M. Kongen mottar statsministeren i audiens. H.K.H. Kronprinsen vil også være til stede (10.15).,Fast audiens,Norge,,2016-03-18T00:00:00,Kong Harald V ,
40,H.M. Kongen mottar statsministeren i audiens. H.K.H. Kronprinsen vil også være til stede (10.15).,Fast audiens,Norge,,2016-03-18T00:00:00,Kong Harald V ,
41,H.M. Kongen mottar utenriksråden i audiens. H.M. Dronningen og H.K.H. Kronprinsen vil også være til stede (10.00).,Fast audiens,Norge,,2016-03-17T00:00:00,Kong Harald V ,
42,H.M. Kongen mottar generalinspektøren for Luftforsvaret i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-03-14T00:00:00,Kong Harald V ,
43,H.M. Kongen mottar generalinspektøren for Luftforsvaret i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-03-14T00:00:00,Kong Harald V ,
44,H.M. Kongen mottar generalinspektøren for Luftforsvaret i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-03-14T00:00:00,Kong Harald V ,
45,H.M. Kongen mottar generalinspektøren for Luftforsvaret i audiens. H.K.H. Kronprinsen vil også være til stede (11.30).,Fast audiens,Norge,,2016-03-14T00:00:00,Kong Harald V ,
